Matter Name,Duration Days,Complexity Score,Approval Layers,Revision Count,Counsel Type,Matter Type,Drafting Status,Open Date
Contract for Flowline Cleanup and Well Intervention on IB4LS,2,2,3,1,Internal,Technical,Completed,10/2/2024
Contract for IB Integrated Project Delivery Study,15,2,3,3,Internal,Technical,Completed,12/3/2024
Standard Terms and Conditions for Procurement of Steel Stove Pipes,34,3,3,3,Internal,Technical,Completed,30/03/2024
Contract for IB Flowstation Cleaning and Oil Recovery Project,2,2,3,1,Internal,Technical,Completed,30/03/2024
Call-Off Contract for the Provision of Technical Services for Drilling Campaign,13,3,3,2,Internal,Technical,Completed,3/5/2024
Contract for Upgrade of IB Flowstation,5,3,4,1,Internal,Technical,Completed,31/05/2024
Call-Off ontract for Slickline Unit and Related Services,27,2,3,4,Internal,Technical,Completed,13/06/2024
Contract for Well Intervention on IB 14,5,2,3,1,Internal,Technical,Completed,19/06/2024
EPC Contract for 2 Storage Tank,12,3,3,4,Internal,Technical,Completed,5/8/2024
Contract for Procurement of 2 Sets of Wellheads,2,2,3,1,Internal,Technical,Completed,4/9/2024
Contract for Procurement of OCTG for Assa,6,2,3,2,Internal,Technical,Completed,4/9/2024
Contract for Installation of NUFLOW meters,7,2,3,2,Internal,Technical,Completed,6/9/2024
Contract for Cluster Field Delivery Study,8,2,3,1,Internal,Technical,Completed,14/10/2024
Contract for the Maintenance of GLC 3,29,3,3,5,Internal,Technical,Completed,12/11/2024
Lumpsum Turnkey Drillling Contract,68,4,5,17,External,Technical,Completed,25/11/2024
Call-Off Contract for Project Drilling Team ,10,2,3,2,Internal,Technical,Completed,10/12/2024
Contract for Fabrication and Injection of Injection Wells,9,2,3,3,Internal,Technical,Completed,15/01/2025
Call-Off Contract for Rig Inspection Services,2,2,3,1,Internal,Technical,Completed,24/01/2025
Call-Off Contract for Chicksan Hookup Services,5,2,3,2,Internal,Technical,Completed,24/01/2025
Contract for O&M for Gas Compressor,21,4,4,6,Internal,Technical,Completed,4/2/2025
Call-Off Contract for Coiled Tubing Services (First Tranche),11,3,3,4,Internal,Technical,Completed,31/03/2025
Contract for Geotechnical Investigation of Redevelopment Project,15,2,3,1,Internal,Technical,Completed,17/04/2025
Heads of Terms for Proposed Farm In to Drilling Contract,63,4,4,12,External,Technical,Completed,17/04/2025
Call-Off Contract for Coiled Tubing Services (Second Tranche),2,2,3,1,Internal,Technical,Completed,6/5/2025
Contract for Tank Instrumentation,41,2,3,2,Internal,Technical,Completed,7/5/2025
Call-Off Contract for Inspection of OCTG,23,2,3,2,Internal,Technical,Completed,19/05/2025
Contract for Fabrication of Spool and Hookup of Well 16,20,3,3,1,Internal,Technical,Completed,21/05/2025
Contract for Crude Export Pump Installation,13,2,3,3,Internal,Technical,Completed,4/6/2025
Contract for Supply of 7-Month Production Chemical Inventory,34,2,3,3,Internal,Technical,Completed,11/6/2025
Contract for Digital Rock Physics Technology,6,2,3,3,Internal,Technical,Completed,16/07/2025
Call-Off Contract for Provision of Fluid Laboratory Services,6,3,3,3,Internal,Technical,Completed,16/07/2025
Contract for 3D Seismic Data Reprocessing,18,2,3,2,Internal,Technical,Completed,17/07/2025
Contract for EPCIC of Gas Compressor,49,5,4,14,Internal,Technical,Completed,21/07/2025
Call-Off Contract for Early Production Facility Leasing (Tranche 1),45,3,3,7,Internal,Technical,Completed,29/07/2025
Contract for FDP Studies for 2 new fields,10,3,2,2,Internal,Technical,Completed,19/08/2025
Contract for Tie-In of Assa 4'' Lines,8,2,3,1,Internal,Technical,Completed,20/08/2025
Amendment No 1 to Contract for  EPCIC Services for Pipelines,10,2,2,2,Internal,Technical,Completed,2/9/2025
Contract for Business Process Mapping Roadmaps,161,3,4,6,Internal,Technical,Completed,30/09/2025
Contract for OWS Cleaning and Waste Management Services,2,2,2,1,Internal,Technical,Completed,14/10/2025
Contracts for Procurement of Chemicals for Coiled Tubing Stimulation,8,2,3,5,Internal,Technical,Completed,28/10/2025
Agreement for Field Farmout,111,5,4,25,External,Commercial,Ongoing,18/11/2025
Contract for FDP Studies ,7,1,3,1,Internal,Technical,Completed,20/11/2025
Competent Person Report Contract,17,2,3,5,Internal,Technical,Completed,24/11/2025
Standard Terms and Conditions for Procurement of Produced Water Pumps,1,1,2,0,Internal,Technical,Completed,3/12/2025
Contract for HCDT Road Construction,14,2,3,1,Internal,Technical,Completed,10/12/2025
Service Level Agreement for Flexible Security Solution,98,1,2,1,Internal,Technical,Completed,8/1/2026
EPCC for Storm Water API Pit,6,3,3,3,Internal,Technical,Completed,6/2/2026
EPC Contract for IB Pipeline,12,3,3,1,Internal,Technical,Completed,12/2/2026
Contract for Location Preparation Work and Stove Piling for IB 17,78,3,4,6,Internal,Technical,Completed,17/02/2026
Heads of Terms for Condensate Sale,22,4,1,0,Internal,Technical,Completed,11/3/2026
Service Level Agreement for Professional Services,42,1,2,3,Internal,Technical,Completed,23/03/2026
Service Level Agreement for Website Design,36,1,2,2,Internal,Technical,Completed,27/03/2026
Call-Off for Early Production Facility Leasing (April to Sept 2026),14,2,2,3,Internal,Technical,Completed,10/4/2026
Contract for the Supply of Wellhead Xmas Trees,3,2,3,0,Internal,Technical,Completed,13/04/2026
Contract for the Supply of Third Tranche of OCTG,3,2,3,0,Internal,Technical,Completed,13/04/2026
Call-Off Contract for Project Drilling Team ,6,2,3,0,Internal,Technical,Completed,15/04/2026
PIA Compliance Tracker,20,3,1,2,External,Commercial,Completed,15/04/2026
Build Operate Transfer Contract for Housekeeping,152,4,4,10,Internal,Technical,Ongoing,4/12/2026
